DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2128412623117293568,10078861,293.32093,47.075279,14.0989,1.12435,2.4501253,-13.715725,-13.664609,0.0000000,NaN,28.1060,-23.8095,3.84034,5044.72,43.9434,4.64658,0.0857298,0.0105591,0.0539203,0.0244762,0.0286172
Gaia DR2 2128409736899286272,10079002,293.38126,47.069862,13.8243,1.06767,2.2121869,3.4849866,13.413279,0.0000000,NaN,31.8380,-27.9886,3.84934,5182.70,23.8699,4.40671,0.0459217,0.233805,0.0313880,0.0220071,0.0125692
Gaia DR2 2128409908698001536,10079146,293.44181,47.088182,13.8727,0.748397,1.5152263,5.0254564,-7.4184758,0.0000000,NaN,4.31100,-3.63049,7.39888,6321.35,30.4750,4.32753,0.0717335,0.0376569,0.0468115,0.0236676,0.0291847
Gaia DR2 2128409045404259328,10079226,293.46989,47.045496,9.99082,0.767180,6.7439491,-1.4388442,-46.693995,-37.026773,0.21939009,15.6940,-44.9389,4.83865,5903.41,12.3078,4.14351,0.0236555,0.0827312,0.0195642,0.0260738,0.00814738
Gaia DR2 2128408774826339072,10079317,293.50536,47.018674,12.8564,0.711362,0.84024849,3.0170175,-2.7879771,4.5295225,5.2185715,2.59000,-12.4294,5.54916,6333.37,18.5919,3.93972,0.0398042,-0.120098,0.0310050,0.0158720,0.0143876
Gaia DR2 2128222682485502976,10079452,293.55501,47.055764,13.8649,0.984782,0.49217360,-0.0038901432,-4.7237287,0.0000000,NaN,26.2610,-0.890384,5.56115,5568.66,34.2149,3.64787,0.0826258,-0.148910,0.0478269,0.0113418,0.0302242
Gaia DR2 2128222918702581760,10079481,293.56517,47.093489,11.9253,0.772385,2.2782249,-16.491260,-25.180949,-28.320069,1.4397925,19.9090,-34.0205,4.37997,6011.94,14.5791,4.42059,0.0277260,-0.105589,0.0262213,0.0264340,0.0103972
Gaia DR2 2128222545046570752,10079596,293.61261,47.048705,14.9728,1.00490,0.90039668,-0.56049369,4.3623741,0.0000000,NaN,21.2320,84.2597,30.5369,5285.66,540.707,3.87753,1.24555,-0.292318,0.517291,0.0996895,0.209653
Gaia DR2 2128223708976568064,10080239,293.86208,47.013003,13.1661,0.911534,2.2373869,-5.9469400,-15.081500,-9.3098277,5.6234614,16.1310,-14.2311,4.08917,5626.99,19.1108,4.46924,0.0377890,0.107659,0.0280324,0.00785461,0.0120801
Gaia DR2 2128212065326503680,10080455,293.95022,47.004985,14.9229,1.47642,2.6269074,-4.3458249,14.076228,0.0000000,NaN,28.3420,-56.6398,3.54055,4598.25,27.9657,4.68449,0.0497661,-0.174905,0.0348431,0.109696,0.0148534
Gaia DR2 2128213744652439040,10080592,293.99398,47.058590,12.6171,0.672435,0.97416882,2.5292992,6.5310263,-26.437424,4.5066434,1.92100,-29.8893,4.89861,6464.54,19.4882,4.23837,0.0367494,0.0268984,0.0307389,0.00424892,0.0155585
Gaia DR2 2128213370996637440,10080792,294.06237,47.053470,13.8002,1.22593,2.2768922,4.9370301,0.24478772,0.0000000,NaN,12.8120,-8.70897,4.26904,4903.86,26.6067,4.34385,0.0482720,-0.0999211,0.0356766,0.0293588,0.0139511
Gaia DR2 2128210136879912320,10080921,294.10759,47.021636,11.9993,1.23495,7.6163119,12.968891,4.6153269,-15.161617,0.92378807,10.0740,-24.1303,3.69045,4860.57,17.3773,4.63926,0.0309146,-0.0399731,0.0255564,0.0104799,0.00808255
Gaia DR2 2128585452601719808,10081137,294.17894,47.069373,13.1566,1.38383,0.30077008,0.23816724,-6.2308329,-11.714455,0.60844321,32.5920,-18.9199,3.48059,4576.27,23.5301,2.57326,0.0569705,0.000241574,0.0257374,-0.00211515,0.0126266
Gaia DR2 2128585280803021056,10081150,294.18248,47.040890,13.5795,0.935490,2.1849875,0.82502982,-2.5669689,0.0000000,NaN,6.73500,-27.3501,5.09947,5567.26,23.9932,4.56051,0.0480767,-0.0918075,0.0362705,0.00757304,0.0160110
Gaia DR2 2128585830558864512,10081256,294.21522,47.089519,15.4368,1.67987,2.3339688,-3.0225605,8.0848237,0.0000000,NaN,15.6420,-24.2442,6.67038,4356.64,143.562,4.80263,0.239114,-0.472521,0.160084,0.0173032,0.0754292
Gaia DR2 2128584731047249664,10081434,294.29123,47.041747,13.7813,0.826376,0.95431590,-5.6309362,-26.262461,0.0000000,NaN,20.6120,1.43900,5.15943,5861.84,24.9064,4.37450,0.0558049,-0.171439,0.0422803,0.0539102,0.0215510
Gaia DR2 2128537555126489600,10081606,294.36421,47.008051,14.9285,0.906924,1.0243793,-1.0557266,-5.8587921,0.0000000,NaN,7.45500,-10.2499,4.61980,5621.59,24.8961,4.41781,0.0521594,-0.0727562,0.0380963,-0.00372433,0.0176685
Gaia DR2 2128538620278450176,10081883,294.45947,47.057003,15.6538,1.09337,0.24941887,-4.3710595,-12.352636,0.0000000,NaN,21.8340,-92.3091,8.28027,4935.01,137.919,3.07211,0.329094,-0.643766,0.150051,0.148115,0.0764970
